id;clusters_0;clusters_1
pub.1027684208;20;3
pub.1027693112;13;4
pub.1027704874;9;8
pub.1027710235;9;8
pub.1027712081;31;24
pub.1027714071;30;23
pub.1027727987;3;2
pub.1027735833;9;8
pub.1027759200;30;23
pub.1027787472;21;17
pub.1027788366;24;18
pub.1027824933;291;47
pub.1027856332;26;4
pub.1027866732;9;8
pub.1027891717;12;10
pub.1027893777;9;8
pub.1027900597;295;190
pub.1027916568;21;17
pub.1027917392;51;35
pub.1027934904;65;23
pub.1027944732;57;38
pub.1027948332;9;8
pub.1027962857;9;8
pub.1027975375;5;4
pub.1027991434;30;23
pub.1028001411;65;23
pub.1028001848;22;18
pub.1028028144;67;46
pub.1028046158;3;2
pub.1028060562;4;3
pub.1028070065;62;32
pub.1028070840;54;38
pub.1028079232;56;40
pub.1028107146;13;4
pub.1028115239;62;32
pub.1028130391;9;8
pub.1028145219;23;19
pub.1028145945;67;46
pub.1028150932;0;0
pub.1028220081;12;10
pub.1028241103;23;19
pub.1028255206;9;8
pub.1028270960;22;18
pub.1028281936;0;0
pub.1028285745;2;1
pub.1028302699;9;8
pub.1028311496;23;19
pub.1028311548;13;4
pub.1028323176;20;3
pub.1028343327;13;4
pub.1028346415;5;4
pub.1028350454;5;4
pub.1028403250;0;0
pub.1027716747;108;38
pub.1027722913;90;56
pub.1027728565;68;47
pub.1027759280;0;0
pub.1027765633;23;19
pub.1027768366;21;17
pub.1027779263;23;19
pub.1027790890;6;5
pub.1027809090;13;4
pub.1027831366;9;8
pub.1027850414;21;17
pub.1027858994;48;34
pub.1027869226;26;4
pub.1027875537;13;4
pub.1027880181;139;26
pub.1027883147;9;8
pub.1027886872;21;17
pub.1027910225;29;4
pub.1027914385;15;12
pub.1027918705;26;4
pub.1027921080;21;17
pub.1027921514;5;4
pub.1027929907;30;23
pub.1027940730;5;4
pub.1027947151;3;2
pub.1027953526;93;3
pub.1027965922;30;23
pub.1027982808;47;21
pub.1027996211;23;19
pub.1028008379;5;4
pub.1028013726;22;18
pub.1028013730;12;10
pub.1028014694;45;23
pub.1028032032;24;18
pub.1028033221;22;18
pub.1028037637;26;4
pub.1028051086;5;4
pub.1028055144;76;52
pub.1028087733;88;61
pub.1028097508;41;4
pub.1028134185;12;10
pub.1028135451;308;199
pub.1028151621;22;18
pub.1028178785;45;23
pub.1028184464;60;43
pub.1028202643;5;4
pub.1028219973;86;59
pub.1028232444;12;10
pub.1028256106;297;8
pub.1028317852;5;4
pub.1028325429;138;88
pub.1028348463;108;38
pub.1028351896;22;18
pub.1028356572;122;5
pub.1028358989;21;17
pub.1028362885;47;21
pub.1028392169;13;4
pub.1028447348;49;2
pub.1028469676;6;5
pub.1028471950;30;23
pub.1028481302;65;23
pub.1028491519;22;18
pub.1028509372;31;24
pub.1028534493;5;4
pub.1028536691;45;23
pub.1028540317;22;18
pub.1028545078;40;31
pub.1028553624;50;18
pub.1028556817;0;0
pub.1028558311;5;4
pub.1028592388;41;4
pub.1028600278;22;18
pub.1028602686;9;8
pub.1028613098;5;4
pub.1027821199;80;55
pub.1027843385;9;8
pub.1027844861;59;42
pub.1027852307;9;8
pub.1027869338;20;3
pub.1027873732;20;3
pub.1027902402;131;67
pub.1027908618;27;21
pub.1027924597;1;0
pub.1027934839;22;18
pub.1027958464;96;53
pub.1027962849;103;8
pub.1027967466;5;4
pub.1027976869;9;8
pub.1027977914;30;23
pub.1028007667;50;18
pub.1028021253;81;15
pub.1028042242;20;3
pub.1028063463;23;19
pub.1028080630;78;53
pub.1028084283;3;2
pub.1028108961;82;56
pub.1028111241;30;23
pub.1028123870;9;8
pub.1028131867;22;18
pub.1028191925;12;10
pub.1028197821;5;4
pub.1028216045;5;4
pub.1028216847;9;8
pub.1028229336;21;17
pub.1028230506;15;12
pub.1028236411;91;62
pub.1028261342;21;17
pub.1028269030;12;10
pub.1028273782;21;17
pub.1028322888;0;0
pub.1028325941;29;4
pub.1028378374;5;4
pub.1028410823;113;72
pub.1028414442;0;0
pub.1028444197;24;18
pub.1028448124;91;62
pub.1028452813;5;4
pub.1028457730;45;23
pub.1028460272;27;21
pub.1028486328;9;8
pub.1028506117;20;3
pub.1028507952;0;0
pub.1028525197;4;3
pub.1028535288;12;10
pub.1028550846;13;4
pub.1028580829;54;38
pub.1028592942;122;5
pub.1028593026;9;8
pub.1028593734;45;23
pub.1028595526;5;4
pub.1028603969;159;104
pub.1028605884;65;23
pub.1028620301;10;5
pub.1028640367;9;8
pub.1028640538;30;23
pub.1028644799;18;15
pub.1028659565;20;3
pub.1028662780;13;4
pub.1028666102;0;0
pub.1028676505;9;8
pub.1028687150;36;27
pub.1028707420;13;4
pub.1028729335;24;18
pub.1028804517;93;3
pub.1027822503;5;4
pub.1027829581;68;47
pub.1027841793;15;12
pub.1027844892;30;23
pub.1027850007;22;18
pub.1027850675;93;3
pub.1027871229;5;4
pub.1027873892;57;38
pub.1027882131;27;21
pub.1027896886;22;18
pub.1027900819;9;8
pub.1027910607;9;8
pub.1027910674;347;230
pub.1027919892;31;24
pub.1027922128;9;8
pub.1027948174;5;4
pub.1027949384;30;23
pub.1027957013;16;13
pub.1027998775;15;12
pub.1028039908;91;62
pub.1028115973;9;8
pub.1028137515;57;38
pub.1028144461;42;32
pub.1028146128;31;24
pub.1028149876;22;18
pub.1028194060;86;59
pub.1028212766;0;0
pub.1028213834;22;18
pub.1028217618;23;19
pub.1028222022;13;4
pub.1028226724;9;8
pub.1028245765;21;17
pub.1028260114;3;2
pub.1028265404;68;47
pub.1028277838;57;38
pub.1028291894;22;18
pub.1028334231;3;2
pub.1028349429;5;4
pub.1028354118;9;8
pub.1028358361;21;17
pub.1028362916;5;4
pub.1028400474;330;217
pub.1028402520;30;23
pub.1028410148;59;42
pub.1028412627;5;4
pub.1028415795;51;35
pub.1028431580;29;4
pub.1028432239;9;8
pub.1028445511;22;18
pub.1028473860;9;8
pub.1028495425;68;47
pub.1028515697;5;4
pub.1028521203;163;107
pub.1028547296;27;21
pub.1028572295;91;62
pub.1028573077;58;41
pub.1028577042;22;18
pub.1028586100;9;8
pub.1028596751;355;233
pub.1028613327;5;4
pub.1028621613;23;19
pub.1028621921;28;22
pub.1028624613;9;8
pub.1028632006;23;19
pub.1028632850;5;4
pub.1028637225;21;17
pub.1028649709;9;8
pub.1028654186;65;23
pub.1028674363;91;62
pub.1028703245;22;18
pub.1028758482;4;3
pub.1028770903;3;2
pub.1027987794;23;19
pub.1028018072;30;23
pub.1028021725;67;46
pub.1028026449;9;8
pub.1028045612;22;18
pub.1028058619;108;38
pub.1028065534;5;4
pub.1028079503;22;18
pub.1028110175;13;4
pub.1028129312;30;23
pub.1028130160;45;23
pub.1028145827;110;61
pub.1028161475;22;18
pub.1028174679;13;4
pub.1028186407;45;23
pub.1028226720;4;3
pub.1028235252;68;47
pub.1028238689;9;8
pub.1028260539;9;8
pub.1028261367;9;8
pub.1028283306;29;4
pub.1028301562;5;4
pub.1028303424;30;23
pub.1028321243;31;24
pub.1028323748;96;53
pub.1028333581;62;32
pub.1028334325;20;3
pub.1028345657;23;19
pub.1028352015;9;8
pub.1028354497;5;4
pub.1028369643;22;18
pub.1028371683;5;4
pub.1028386352;5;4
pub.1028390165;6;5
pub.1028392109;50;18
pub.1028438985;31;24
pub.1028449895;21;17
pub.1028452780;9;8
pub.1028536506;0;0
pub.1028554959;13;4
pub.1028590535;78;53
pub.1028620747;4;3
pub.1028650536;5;4
pub.1028654145;110;61
pub.1028685680;21;17
pub.1028690535;122;5
pub.1028694550;76;52
pub.1028702017;71;9
pub.1028743255;50;18
pub.1028760337;90;56
pub.1028769976;22;18
pub.1028774169;3;2
pub.1028794323;48;34
pub.1028828541;30;23
pub.1028830930;6;5
pub.1028836258;17;14
pub.1028842851;5;4
pub.1028857678;13;4
pub.1028878241;9;8
pub.1028883944;9;8
pub.1028885097;30;23
pub.1028893855;36;27
pub.1028904237;9;8
pub.1028928588;90;56
pub.1028933020;0;0
pub.1028947471;26;4
pub.1028948093;50;18
pub.1028981927;78;53
pub.1028983180;5;4
pub.1028990495;57;38
pub.1028167379;54;38
pub.1028170791;5;4
pub.1028199195;17;14
pub.1028239725;22;18
pub.1028248284;21;17
pub.1028259515;3;2
pub.1028306525;65;23
pub.1028323526;9;8
pub.1028337302;5;4
pub.1028371918;50;18
pub.1028373184;21;17
pub.1028374513;9;8
pub.1028386023;4;3
